loan_amount,term_months,interest_rate,installment,annual_income,dti_ratio,fico_score,employment_length,open_credit_lines,revol_util,credit_history_years,num_delinquencies,home_ownership_encoded,loan_purpose_encoded,state_encoded,default
30300.0,36,4.42,1391.34,106000.0,20.97,612,0,8,10.9,2,2,0,4,13,1
56600.0,60,3.06,1357.56,91000.0,15.37,642,3,14,11.06,27,1,0,3,19,1
8600.0,60,13.78,536.95,73000.0,10.81,599,9,8,0.0,22,0,0,5,31,1
36400.0,60,2.88,650.96,81000.0,28.45,696,3,9,61.38,19,3,2,4,12,1
18700.0,60,11.4,456.25,53000.0,5.66,731,1,11,59.88,8,1,1,2,45,0
11300.0,60,9.38,746.18,44000.0,29.01,755,3,4,53.82,25,0,0,6,6,0
11200.0,36,10.38,257.86,30000.0,25.14,765,2,12,71.72,17,0,2,3,7,0
24700.0,60,3.52,136.05,82000.0,12.84,750,9,8,18.71,14,1,2,0,49,1
24500.0,60,6.15,833.8,57000.0,23.5,732,4,4,57.53,11,1,2,7,23,0
40000.0,60,1.82,419.63,45000.0,54.47,738,5,9,47.66,12,1,1,4,40,0
7200.0,36,13.92,935.06,31000.0,19.12,613,5,13,20.25,22,3,1,1,4,0
18800.0,60,2.24,427.91,53000.0,23.67,652,5,7,50.88,10,1,2,6,27,1
35000.0,60,8.84,293.8,90000.0,11.0,565,2,4,57.54,23,3,1,2,23,0
21600.0,36,10.99,251.98,91000.0,14.0,559,9,8,27.67,6,1,1,0,8,1
1700.0,60,2.09,592.24,62000.0,29.71,716,8,9,54.1,4,2,0,1,46,0
25000.0,36,13.14,495.96,41000.0,9.23,725,9,8,42.01,1,1,0,9,34,0
14200.0,36,7.47,776.9,67000.0,22.25,811,2,12,9.49,2,1,1,9,6,0
67000.0,36,5.56,509.89,76000.0,10.24,723,7,12,32.96,14,1,2,8,28,1
54100.0,36,9.91,790.21,59000.0,30.3,587,10,12,11.59,29,3,0,8,38,0
7200.0,60,4.5,815.14,60000.0,39.97,791,1,11,53.29,4,0,2,6,37,0
2700.0,60,14.29,653.34,83000.0,27.52,602,2,3,42.9,5,0,0,6,29,0
32000.0,36,10.01,357.35,39000.0,17.43,602,7,7,11.8,27,1,1,7,34,0
14600.0,60,10.76,899.41,50000.0,0.01,736,7,8,26.39,21,1,2,4,32,0
36000.0,36,11.83,421.21,20000.0,43.85,768,3,7,50.51,15,2,2,9,17,0
6500.0,36,1.1,705.88,53000.0,38.05,609,10,11,33.9,9,0,0,9,28,1
31800.0,60,12.28,674.0,29000.0,26.08,581,5,11,25.84,16,1,1,7,33,0
28300.0,60,19.23,851.07,10000.0,29.42,645,0,11,64.31,13,0,1,9,47,0
36500.0,36,5.62,20.45,65000.0,2.3,734,8,10,45.58,3,1,1,1,47,1
31000.0,36,4.12,577.74,46000.0,7.25,700,0,4,37.5,21,1,1,6,29,0
7200.0,60,8.99,1104.93,54000.0,25.34,724,4,10,41.28,5,1,1,2,5,0
9900.0,60,9.44,670.04,25000.0,52.98,812,2,7,24.67,6,2,1,1,45,0
22000.0,36,6.79,680.09,58000.0,24.49,777,0,1,17.94,10,1,1,5,16,0
